Time (seconds),Temp,Humid,Light
2.71,18.58,46,0
9.11,18.56,46,0
15.52,18.56,46,0
21.92,18.56,46,0
28.33,18.56,46,0
34.73,18.66,46,0
41.14,19.12,48,0
47.54,19.78,44,0
53.94,20.2,39,0
60.35,20.57,38,0
66.75,20.64,37,0
73.16,20.56,34,0
79.56,20.38,33,0
85.97,20.14,32,0
92.39,19.86,32,0
98.80,19.56,33,0
105.20,19.27,33,0
111.60,19,33,0
118.01,18.76,33,0
124.41,18.55,34,0
130.82,18.37,34,0
137.22,18.21,34,0
143.63,18.08,34,0
150.03,17.97,34,0
156.44,17.86,35,0
162.84,17.78,35,0
169.24,17.7,35,0
175.65,17.64,35,0
182.08,17.57,35,0
188.48,17.52,35,0
194.88,17.47,35,0
201.29,17.43,35,0
207.69,17.4,35,0
214.10,17.37,35,0
220.50,17.34,35,0
226.90,17.31,35,0
233.31,17.29,35,0
239.72,17.26,35,0
246.12,17.25,35,0
252.52,17.23,35,0
258.93,17.21,35,0
265.33,17.2,35,0
271.74,17.18,35,0
278.16,17.18,35,0
284.56,17.17,35,0
290.97,17.16,35,0
297.38,17.16,35,0
303.78,17.16,35,0
310.18,17.15,35,0
316.59,17.15,35,0
322.99,17.14,35,0
329.40,17.14,35,0
335.80,17.14,35,0
342.20,17.14,35,0
348.61,17.13,35,0
355.01,17.13,35,0
361.42,17.13,35,0
367.84,17.13,35,0
374.24,17.13,35,0
380.65,17.14,35,0
387.06,17.15,35,0
393.46,17.16,35,0
399.86,17.16,35,0
406.27,17.16,35,0
412.67,17.17,35,0
419.08,17.17,35,0
425.48,17.17,35,0
431.88,17.17,35,0
438.29,17.18,35,0
444.70,17.18,35,0
451.10,17.19,35,0
457.52,17.2,35,0
463.93,17.2,35,0
470.33,17.21,35,0
476.74,17.22,35,0
483.14,17.23,35,0
489.54,17.24,35,0
495.95,17.25,35,0
502.35,17.26,35,0
508.76,17.27,35,0
515.16,17.27,35,0
521.56,17.27,35,0
527.97,17.27,35,0
534.38,17.27,35,0
540.78,17.28,35,0
547.18,17.28,35,0
553.61,17.28,35,0
560.01,17.29,35,0
566.42,17.29,35,0
572.82,17.3,35,0
579.23,17.3,35,0
585.63,17.31,35,0
592.04,17.31,35,0
598.44,17.32,35,0
604.85,17.32,35,0
611.25,17.33,35,0
617.66,17.33,35,0
624.06,17.34,35,0
630.46,17.34,35,0
636.87,17.35,35,0
643.29,17.35,35,0
649.70,17.36,35,0
656.10,17.37,35,0
662.51,17.37,35,0
668.91,17.38,35,0
675.32,17.38,35,0
681.72,17.39,35,0
688.13,17.4,35,0
694.53,17.41,35,0
700.94,17.41,35,0
