Time (seconds),Temp,Humid,Light
3.71,25.58,37,0
34.51,25.76,43,0
65.31,26,35,0
96.11,26.07,35,0
126.91,26.06,35,0
157.71,26.04,35,0
188.51,26,35,0
219.31,25.96,35,0
250.11,25.92,34,0
280.91,25.89,35,0
311.71,25.85,34,0
342.51,25.81,34,0
373.31,25.78,34,0
404.11,25.75,34,0
434.93,25.72,34,0
465.73,25.7,33,0
496.53,25.68,33,0
527.33,25.66,33,0
558.13,25.65,33,0
588.93,25.64,33,0
619.73,25.63,33,0
650.54,25.63,33,0
681.34,25.63,33,0
712.14,25.62,33,0
742.94,25.63,33,0
773.74,25.64,33,0
804.54,25.66,34,0
835.34,25.69,34,0
866.16,25.73,34,0
896.96,25.76,33,0
927.76,25.79,33,0
958.56,25.83,33,0
989.36,25.86,33,0
1020.16,25.89,33,0
1050.96,25.92,33,0
1081.76,25.95,33,0
1112.56,25.98,33,0
1143.37,26.01,33,0
1174.17,26.04,33,0
1204.97,26.06,33,0
1235.77,26.08,33,0
1266.57,26.1,33,0
1297.39,26.13,33,0
1328.19,26.15,33,0
1358.99,26.16,33,0
1389.79,26.18,33,0
1420.59,26.2,33,0
1451.39,26.21,33,0
1482.19,26.23,33,0
1512.99,26.24,33,0
1543.79,26.25,33,0
1574.59,26.26,33,0
1605.39,26.28,33,0
1636.19,26.28,33,0
1666.99,26.29,33,0
1697.81,26.31,33,0
1728.61,26.31,33,0
1759.41,26.32,33,0
1790.22,26.33,33,0
1821.02,26.34,33,0
1851.82,26.35,33,0
1882.62,26.36,33,0
1913.42,26.36,33,0
1944.22,26.37,33,0
1975.02,26.37,33,0
2005.82,26.38,33,0
2036.62,26.39,33,0
2067.42,26.39,33,0
2098.22,26.4,33,0
2129.04,26.41,33,0
2159.84,26.41,33,0
2190.64,26.42,33,0
2221.44,26.42,33,0
2252.24,26.43,33,0
2283.04,26.43,33,0
2313.84,26.44,33,0
2344.64,26.45,33,0
2375.44,26.45,33,0
2406.24,26.46,33,0
2437.04,26.46,33,0
2467.84,26.46,33,0
2498.64,26.47,33,0
2529.46,26.47,33,0
2560.26,26.48,33,0
2591.07,26.48,33,0
2621.87,26.49,33,0
2652.67,26.49,33,0
2683.47,26.49,33,0
2714.27,26.49,33,0
2745.07,26.5,33,0
2775.87,26.5,33,0
2806.67,26.51,33,0
2837.47,26.51,33,0
2868.27,26.51,33,0
2899.07,26.52,33,0
2929.87,26.52,33,0
2960.69,26.53,33,0
2991.49,26.53,33,0
3022.29,26.53,33,0
3053.09,26.54,33,0
3083.89,26.54,33,0
3114.69,26.54,33,0
3145.49,26.54,33,0
3176.29,26.55,33,0
3207.09,26.55,33,0
3237.90,26.55,33,0
3268.70,26.55,33,0
3299.50,26.55,33,0
3330.30,26.56,33,0
3361.12,26.56,33,0
3391.92,26.56,33,0
3422.72,26.56,33,0
3453.52,26.57,33,0
3484.32,26.57,33,0
3515.12,26.58,33,0
3545.92,26.58,33,0
3576.72,26.58,33,0
3607.52,26.58,33,0
3638.32,26.59,33,0
3669.12,26.59,33,0
3699.92,26.59,33,0
3730.72,26.59,33,0
3761.53,26.59,33,0
3792.35,26.59,33,0
3823.15,26.6,33,0
3853.95,26.6,33,0
3884.75,26.6,33,0
3915.55,26.6,33,0
3946.35,26.61,33,0
3977.15,26.61,33,0
4007.95,26.61,33,0
4038.75,26.61,33,0
4069.55,26.62,33,0
4100.35,26.62,33,0
4131.15,26.62,33,0
4161.95,26.62,33,0
4192.77,26.62,33,0
4223.57,26.62,33,0
4254.37,26.62,33,0
4285.17,26.62,33,0
4315.97,26.62,33,0
4346.77,26.62,33,0
4377.58,26.62,33,0
4408.38,26.63,33,0
4439.18,26.63,33,0
4469.98,26.63,33,0
4500.78,26.63,33,0
4531.58,26.63,33,0
4562.38,26.63,33,0
4593.18,26.64,33,0
4624.00,26.64,33,0
4654.80,26.64,33,0
4685.60,26.64,33,0
4716.40,26.64,33,0
4747.20,26.64,33,0
4778.00,26.65,33,0
4808.80,26.65,33,0
4839.60,26.65,33,0
4870.40,26.66,33,0
4901.21,26.66,33,0
4932.01,26.66,33,0
4962.81,26.66,33,0
4993.61,26.67,33,0
5024.43,26.67,33,0
5055.23,26.67,33,0
5086.03,26.67,33,0
5116.83,26.67,33,0
5147.63,26.67,33,0
5178.43,26.67,33,0
5209.23,26.68,33,0
5240.03,26.68,33,0
5270.83,26.68,33,0
5301.63,26.68,33,0
5332.43,26.69,33,0
5363.23,26.69,33,0
5394.03,26.69,33,0
5424.83,26.69,33,0
5455.65,26.69,33,0
5486.45,26.69,33,0
5517.26,26.7,33,0
5548.06,26.7,33,0
5578.86,26.7,33,0
5609.66,26.7,33,0
5640.46,26.7,33,0
5671.26,26.71,33,0
5702.06,26.71,33,0
5732.86,26.72,33,0
5763.66,26.72,33,0
5794.46,26.72,33,0
5825.26,26.71,33,0
5856.06,26.71,33,0
5886.88,26.72,33,0
5917.68,26.72,33,0
5948.48,26.72,33,0
5979.28,26.72,33,0
6010.08,26.72,33,0
6040.88,26.72,33,0
6071.68,26.73,33,0
6102.48,26.73,33,0
6133.28,26.73,33,0
6164.08,26.73,33,0
6194.89,26.73,33,0
6225.69,26.73,33,0
6256.49,26.73,33,0
6287.31,26.73,33,0
6318.11,26.73,33,0
6348.91,26.74,33,0
6379.71,26.74,33,0
6410.51,26.73,33,0
6441.31,26.74,33,0
6472.11,26.74,33,0
6502.91,26.74,33,0
6533.71,26.75,33,0
6564.51,26.75,33,0
6595.31,26.75,33,0
6626.11,26.75,33,0
6656.91,26.75,33,0
6687.82,26.75,33,0
6718.63,26.75,33,0
6749.43,26.75,33,0
6780.23,26.75,33,0
6811.03,26.74,33,0
6841.83,26.74,33,0
6872.63,26.74,33,0
6903.43,26.74,33,0
6934.23,26.74,33,0
6965.03,26.75,33,0
6995.83,26.75,33,0
7026.63,26.75,33,0
7057.43,26.74,33,0
7088.23,26.74,33,0
7119.05,26.74,33,0
7149.86,26.74,33,0
7180.66,26.74,33,0
7211.46,26.74,33,0
7242.26,26.75,33,0
7273.06,26.75,33,0
7303.86,26.75,33,0
7334.66,26.76,33,0
7365.46,26.76,33,0
7396.26,26.76,33,0
7427.06,26.76,33,0
7457.86,26.76,33,0
7488.67,26.76,33,0
7519.49,26.76,33,0
7550.29,26.76,33,0
7581.09,26.76,33,0
7611.89,26.76,33,0
7642.69,26.76,33,0
7673.49,26.76,33,0
7704.29,26.76,33,0
7735.09,26.76,33,0
7765.89,26.76,33,0
7796.69,26.76,33,0
7827.49,26.76,33,0
7858.29,26.76,33,0
7889.09,26.76,33,0
7919.89,26.76,33,0
7950.71,26.76,33,0
7981.51,26.77,33,0
8012.31,26.77,33,0
8043.11,26.77,33,0
8073.91,26.77,33,0
8104.71,26.77,33,0
8135.52,26.77,33,0
8166.32,26.77,33,0
8197.12,26.77,33,0
8227.92,26.77,33,0
8258.72,26.77,33,0
8289.52,26.77,33,0
8320.32,26.77,33,0
8351.14,26.78,33,0
8381.94,26.78,33,0
8412.74,26.78,33,0
8443.54,26.79,33,0
